Di 30. Okt 00:47:46 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540856400.csv (11588350 entries, 1.70 G, cost 156294749 usec, 72.41 K/s)
Di 30. Okt 00:52:48 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540856700.csv (11648314 entries, 1.70 G, cost 157840488 usec, 72.07 K/s)
Di 30. Okt 00:57:51 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540857000.csv (11626682 entries, 1.70 G, cost 160699052 usec, 70.65 K/s)
Di 30. Okt 01:03:12 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540857300.csv (11622598 entries, 1.70 G, cost 181017096 usec, 62.70 K/s)
Di 30. Okt 01:08:34 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540857600.csv (11768462 entries, 1.72 G, cost 202777104 usec, 56.68 K/s)
Di 30. Okt 01:14:23 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540857900.csv (11665839 entries, 1.71 G, cost 253173305 usec, 45.00 K/s)
Di 30. Okt 01:19:22 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540858200.csv (11577569 entries, 1.69 G, cost 251828016 usec, 44.90 K/s)
Di 30. Okt 01:22:48 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540858500.csv (11745061 entries, 1.72 G, cost 158366505 usec, 72.42 K/s)
Di 30. Okt 01:27:47 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540858800.csv (11606447 entries, 1.70 G, cost 156497647 usec, 72.42 K/s)
Di 30. Okt 01:32:46 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540859100.csv (11589267 entries, 1.70 G, cost 156095822 usec, 72.50 K/s)
Di 30. Okt 01:37:40 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540859400.csv (11703750 entries, 1.71 G, cost 150479987 usec, 75.95 K/s)
Di 30. Okt 01:42:40 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540859700.csv (11591595 entries, 1.70 G, cost 150242187 usec, 75.34 K/s)
Di 30. Okt 01:47:43 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540860000.csv (11504647 entries, 1.68 G, cost 153097406 usec, 73.38 K/s)
Di 30. Okt 01:52:46 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540860300.csv (11630808 entries, 1.70 G, cost 156610229 usec, 72.52 K/s)
Di 30. Okt 01:57:39 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540860600.csv (11563354 entries, 1.69 G, cost 148309032 usec, 76.14 K/s)
Di 30. Okt 02:03:05 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540860900.csv (11597633 entries, 1.70 G, cost 175108714 usec, 64.68 K/s)
Di 30. Okt 02:08:33 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540861200.csv (11995932 entries, 1.75 G, cost 203195006 usec, 57.65 K/s)
Di 30. Okt 02:13:18 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540861500.csv (11764554 entries, 1.72 G, cost 187532674 usec, 61.26 K/s)
Di 30. Okt 02:17:39 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540861800.csv (11655418 entries, 1.71 G, cost 149738195 usec, 76.01 K/s)
Di 30. Okt 02:22:39 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540862100.csv (11676189 entries, 1.71 G, cost 148883561 usec, 76.59 K/s)
Di 30. Okt 02:27:35 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540862400.csv (11569015 entries, 1.69 G, cost 145326685 usec, 77.74 K/s)
Di 30. Okt 02:32:40 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540862700.csv (11596491 entries, 1.70 G, cost 149437944 usec, 75.78 K/s)
Di 30. Okt 02:37:34 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540863000.csv (11599087 entries, 1.70 G, cost 143390657 usec, 79.00 K/s)
Di 30. Okt 02:42:38 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540863300.csv (11650970 entries, 1.70 G, cost 148186472 usec, 76.78 K/s)
Di 30. Okt 02:47:31 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540863600.csv (11618541 entries, 1.70 G, cost 141193720 usec, 80.36 K/s)
Di 30. Okt 02:52:35 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540863900.csv (11585569 entries, 1.70 G, cost 145441214 usec, 77.79 K/s)
